Phylum_name,Subphylum_name,Class_name,Order_name,Family_name,file,Species
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfuni1,Aspergillus funiculosus CBS 116.56 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspgl1,Aspergillus glaucus v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asphet1,Aspergillus heteromorphus CBS 117.55 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asphom1,Aspergillus homomorphus CBS 101889 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspibe1,Aspergillus ibericus CBS 121593 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspind2_1,Aspergillus indicus v2.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspind1,Aspergillus indologenus CBS 114.80 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspinso1,Aspergillus insolitus CBS 384.61 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspjap1,Aspergillus japonicus CBS 114.51 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspka1_1,Aspergillus kawachii IFO 4308
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asplac1,Aspergillus lacticoffeatus CBS 101883 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspfo1,Aspergillus luchuensis CBS 106.47 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspmul1_1,Aspergillus multicolor v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspneoa1,Aspergillus neoauricomus CBS112787 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspne1,Aspergillus neoechinulatus CBS120.55 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspneo1,Aspergillus neoniger CBS 115656 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspnid1,Aspergillus nidulans
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspni7,Aspergillus niger ATCC 1015 v4.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspni_DSM_1,Aspergillus niger CBS 513.88
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspni_NRRL3_1,Aspergillus niger NRRL3
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspni_bvT_1,Aspergillus niger van Tieghem ATCC 13496 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspnom13137_1,Aspergillus nomius NRRL 13137
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspnov1,Aspergillus novofumigatus IBT 16806 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspoch1,Aspergillus ochraceoroseus IBT 24754 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspoch1432_1,Aspergillus ochraceoroseus SRRC1432
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspoli1_1,Aspergillus olivicola v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspor1,Aspergillus oryzae RIB40
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspparv1,Aspergillus parvulus CBS 136.61 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asppeni1,Aspergillus penicilloides CBS 540.65 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspph1,Aspergillus phoenicis (Corda) Thom ATCC 13157 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asppip1,Aspergillus piperis CBS 112811 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspram1,Aspergillus rambellii SRRC1468
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asprec1_1,Aspergillus recurvatus v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspres1,Aspergillus restrictus CBS 118.33 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Asprobu1,Aspergillus robustus CBS 428.77 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspros1,Aspergillus roseoglobulosus CBS112800 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspsac1,Aspergillus saccharolyticus JOP 1030-1 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspscle1,Aspergillus sclerotiicarbonarius CBS 121057 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspscl1,Aspergillus sclerotioniger CBS115572 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspsc1,Aspergillus sclerotiorum CBS 549.65 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspstel1_1,Aspergillus stella-maris CBS 113639 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspstec1_1,Aspergillus stercoraria CBS 428.93 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspste1,Aspergillus steynii IBT 23096 v1.0
Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspsy1,Aspergillus sydowii CBS 593.65 v1.0
